condition,level,n,mean_clean_wt_dice,mean_wt_dice,std_wt_dice,mean_wt_dice_drop,std_wt_dice_drop,artifact,relative_drop_percent,artifact_display,mse_mean,mse_std,psnr_mean,psnr_std,n_measurements,n_patients
ringing_L1,1,74,0.7628045228832854,0.764650146935151,0.1543725778993933,-0.0018456240518655,0.0163695106755587,ringing,-0.2419524264079333,Frequency-domain truncation,0.0003418561236439,0.0001784202727152,35.28831250580274,2.4760358688215325,296,74
ringing_L2,2,74,0.7628045228832854,0.7648227306983685,0.1544616472374506,-0.0020182078150831,0.0173592554664759,ringing,-0.2645773267644821,Frequency-domain truncation,0.0006416257373702,0.0003329922125449,32.531174560682445,2.408699703134331,296,74
ringing_L3,3,74,0.7628045228832854,0.7641560024332819,0.1552892065676389,-0.0013514795499965,0.0187900037575906,ringing,-0.177172461548619,Frequency-domain truncation,0.0010576432850447,0.0005324429159944,30.32103175277614,2.3128329993220045,296,74
ringing_L4,4,74,0.7628045228832854,0.7622944347378049,0.1568355861218286,0.0005100881454805,0.0209993057498774,ringing,0.0668700997671659,Frequency-domain truncation,0.0016438471950489,0.0007920279158011,28.364507618286865,2.2270637569899123,296,74
ringing_L5,5,74,0.7628045228832854,0.7583422124253785,0.1598236955795186,0.0044623104579068,0.0247050515852465,ringing,0.5849874147363439,Frequency-domain truncation,0.0025125493795368,0.001152000098839,26.48085800313618,2.143540977043318,296,74
ringing_L6,6,74,0.7628045228832854,0.7498009652707246,0.1650200838528459,0.0130035576125607,0.0313264365821658,ringing,1.7047037900888782,Frequency-domain truncation,0.0038155231117884,0.0016443759833951,24.618626109836907,2.041100337098974,296,74
ringing_L7,7,74,0.7628045228832854,0.7290315007665806,0.1744635336954737,0.0337730221167047,0.0461098009544359,ringing,4.427480580352074,Frequency-domain truncation,0.006202564838679,0.0024189272203088,22.444597285559983,1.9011963828432008,296,74
ringing_L8,8,74,0.7628045228832854,0.6549033079021348,0.1975958032792624,0.1079012149811505,0.0811327862384918,ringing,14.145329733140583,Frequency-domain truncation,0.0114457473899017,0.0040174772252394,19.725248926564987,1.7559783449756063,296,74
ringing_L9,9,74,0.7628045228832854,0.5704967956264614,0.2082143367347504,0.192307727256824,0.1030685529503626,ringing,25.210617070010283,Frequency-domain truncation,0.0164421112677774,0.0055026714218066,18.11629136447112,1.6377634072899698,296,74
ringing_L10,10,74,0.7628045228832854,0.419288873757794,0.2038095202320023,0.3435156491254913,0.129036463152,ringing,45.03324755168654,Frequency-domain truncation,0.0276325588929466,0.0086294112385305,15.815587268291704,1.4683004912547737,296,74
