condition,artifact,artifact_display,level,num_test_patients,clean_dice_WT,degraded_dice_WT,drop_dice_WT,clean_iou_WT,degraded_iou_WT,drop_iou_WT,clean_dice_TC,degraded_dice_TC,drop_dice_TC,clean_iou_TC,degraded_iou_TC,drop_iou_TC,clean_dice_ET,degraded_dice_ET,drop_dice_ET,clean_iou_ET,degraded_iou_ET,drop_iou_ET,clean_pred_WT_voxels,degraded_pred_WT_voxels,clean_true_WT_voxels,degraded_true_WT_voxels,break_threshold_crossed
contrast_L4,contrast,Contrast reduction,4,74,0.91246020016083,0.916242963136376,-0.0037827629755458,0.8461928394606912,0.8517278457001335,-0.0055350062394422,0.8844378949401662,0.8855059516871127,-0.0010680567469464,0.8086667324639445,0.8098769757854432,-0.0012102433214986,0.8185845341459236,0.8168348608136831,0.0017496733322405,0.7283002312497782,0.7265839537477925,0.0017162775019856,93225.24324324324,94326.97297297296,99706.22972972972,99706.22972972972,False
contrast_L5,contrast,Contrast reduction,5,74,0.91246020016083,0.9164029102761604,-0.0039427101153303,0.8461928394606912,0.851971967868906,-0.0057791284082148,0.8844378949401662,0.884883262189794,-0.0004453672496277,0.8086667324639445,0.8088126737174336,-0.0001459412534891,0.8185845341459236,0.8158265109132601,0.0027580232326634,0.7283002312497782,0.7251952172439677,0.0031050140058104,93225.24324324324,94284.82432432432,99706.22972972972,99706.22972972972,False
contrast_L6,contrast,Contrast reduction,6,74,0.91246020016083,0.9186920684371096,-0.00623186827627964,0.8461928394606912,0.8554084813629268,-0.00921564190223556,0.8844378949401662,0.8878409981701407,-0.0034031032299745023,0.8086667324639445,0.8127875408872351,-0.004120808423290656,0.8185845341459236,0.7904438139287628,0.028140720217160742,0.7283002312497782,0.7005265796584901,0.027773651591288084,93225.24324324324,95733.63513513512,99706.22972972972,99706.22972972972,False
contrast_L7,contrast,Contrast reduction,7,74,0.91246020016083,0.9189277630243962,-0.006467562863566201,0.8461928394606912,0.8557820480095085,-0.009589208548817285,0.8844378949401662,0.887599899686972,-0.0031620047468057244,0.8086667324639445,0.8123498006254767,-0.003683068161532188,0.8185845341459236,0.7897910134681112,0.02879352067781238,0.7283002312497782,0.6997002576997342,0.028599973550043956,93225.24324324324,95699.87837837836,99706.22972972972,99706.22972972972,False
contrast_L8,contrast,Contrast reduction,8,74,0.91246020016083,0.9190078190242827,-0.0065476188634527865,0.8461928394606912,0.8558833560900585,-0.009690516629367263,0.8844378949401662,0.8864288463831771,-0.001990951443010869,0.8086667324639445,0.8105016025889313,-0.0018348701249868427,0.8185845341459236,0.7877181043585064,0.03086642978741716,0.7283002312497782,0.6970907716071874,0.03120945964259081,93225.24324324324,95616.9054054054,99706.22972972972,99706.22972972972,False
contrast_L9,contrast,Contrast reduction,9,74,0.91246020016083,0.91740252507329,-0.00494232491246005,0.8461928394606912,0.853119807799878,-0.006926968339186712,0.8844378949401662,0.876093767865492,0.008344127074674246,0.8086667324639445,0.7968132593503049,0.011853473113639601,0.8185845341459236,0.7602152670976886,0.058369267048234974,0.7283002312497782,0.6721183353188568,0.05618189593092138,93225.24324324324,95355.64864864864,99706.22972972972,99706.22972972972,False
contrast_L10,contrast,Contrast reduction,10,74,0.91246020016083,0.9124998122252348,-3.9612064404837e-05,0.8461928394606912,0.8455659932801364,0.0006268461805548631,0.8844378949401662,0.8583819292381878,0.026055965701978434,0.8086667324639445,0.7816385002660354,0.027028232197909063,0.8185845341459236,0.7651234675609981,0.05346106658492544,0.7283002312497782,0.6772806243774158,0.0510196068723624,93225.24324324324,94722.2972972973,99706.22972972972,99706.22972972972,False
ringing_L1,ringing,Frequency-domain truncation,1,74,0.91246020016083,0.9162951140111424,-0.0038349138503124,0.8461928394606912,0.8517668109165344,-0.0055739714558431,0.8844378949401662,0.8859947594668834,-0.0015568645267172,0.8086667324639445,0.8105569579357602,-0.0018902254718157,0.8185845341459236,0.8170939672124324,0.0014905669334911,0.7283002312497782,0.7269619378822957,0.0013382933674824,93225.24324324324,94397.56756756756,99706.22972972972,99706.22972972972,False
ringing_L2,ringing,Frequency-domain truncation,2,74,0.91246020016083,0.9162294106233406,-0.0037692104625105,0.8461928394606912,0.851647776490729,-0.0054549370300377,0.8844378949401662,0.8861001114584424,-0.0016622165182761,0.8086667324639445,0.8106326539069768,-0.0019659214430323,0.8185845341459236,0.8164481819760856,0.0021363521698379,0.7283002312497782,0.7259728106377633,0.0023274206120148,93225.24324324324,94356.63513513512,99706.22972972972,99706.22972972972,False
ringing_L3,ringing,Frequency-domain truncation,3,74,0.91246020016083,0.9158906553461346,-0.0034304551853044,0.8461928394606912,0.8511123297156986,-0.0049194902550073,0.8844378949401662,0.8859104855783699,-0.0014725906382037,0.8086667324639445,0.8102350697121579,-0.0015683372482133,0.8185845341459236,0.8016041965174762,0.0169803376284474,0.7283002312497782,0.7103671171801869,0.0179331140695913,93225.24324324324,94251.9054054054,99706.22972972972,99706.22972972972,False
ringing_L4,ringing,Frequency-domain truncation,4,74,0.91246020016083,0.9153089624161336,-0.0028487622553036,0.8461928394606912,0.8502140291294136,-0.0040211896687223,0.8844378949401662,0.885373876558343,-0.0009359816181767,0.8086667324639445,0.8092197093336696,-0.0005529768697251,0.8185845341459236,0.7854624341530946,0.033122099992829,0.7283002312497782,0.6926875188398786,0.0356127124098996,93225.24324324324,94032.82432432432,99706.22972972972,99706.22972972972,False
ringing_L5,ringing,Frequency-domain truncation,5,74,0.91246020016083,0.91405164500934,-0.00159144484851,0.8461928394606912,0.8481775978891047,-0.0019847584284135,0.8844378949401662,0.883886176261728,0.0005517186784381,0.8086667324639445,0.8065771672732626,0.0020895651906819,0.8185845341459236,0.7798974938800359,0.0386870402658876,0.7283002312497782,0.6840136552803964,0.0442865759693817,93225.24324324324,93718.52702702704,99706.22972972972,99706.22972972972,False
ringing_L6,ringing,Frequency-domain truncation,6,74,0.91246020016083,0.9131177024930712,-0.0006575023322412665,0.8461928394606912,0.8465056495242231,-0.00031281006353189866,0.8844378949401662,0.881561671103364,0.002876223836802194,0.8086667324639445,0.8018499201941408,0.006816812269803685,0.8185845341459236,0.7806782109655718,0.03790632318035181,0.7283002312497782,0.6789261874313292,0.04937404381844901,93225.24324324324,94748.06756756756,99706.22972972972,99706.22972972972,False
ringing_L7,ringing,Frequency-domain truncation,7,74,0.91246020016083,0.907876480237668,0.004583719923161977,0.8461928394606912,0.8373367461805713,0.008856093280119937,0.8844378949401662,0.8616671591246561,0.022770735815510146,0.8086667324639445,0.7746947789802588,0.033971953483685646,0.8185845341459236,0.7765428947357796,0.04204163941014394,0.7283002312497782,0.6634009078598626,0.06489932338991555,93225.24324324324,95783.9054054054,99706.22972972972,99706.22972972972,False
ringing_L8,ringing,Frequency-domain truncation,8,74,0.91246020016083,0.8800325293489256,0.03242767081190434,0.8461928394606912,0.7923435826245826,0.05384925683610864,0.8844378949401662,0.816340203388948,0.06809769155121825,0.8086667324639445,0.7077888133511643,0.10087791911278021,0.8185845341459236,0.6942418063920979,0.12434272775382571,0.7283002312497782,0.5621791365267742,0.16612109472300396,93225.24324324324,102535.67567567568,99706.22972972972,99706.22972972972,False
ringing_L9,ringing,Frequency-domain truncation,9,74,0.91246020016083,0.8259554059058063,0.08650479425502366,0.8461928394606912,0.7160420954510147,0.13015074400967652,0.8844378949401662,0.7528590002317972,0.13157889470836903,0.8086667324639445,0.6244139774066193,0.1842527550573252,0.8185845341459236,0.588726794712106,0.2298577394338176,0.7283002312497782,0.4495088082319439,0.2787914230178343,93225.24324324324,111596.2027027027,99706.22972972972,99706.22972972972,False
ringing_L10,ringing,Frequency-domain truncation,10,74,0.91246020016083,0.624263276257373,0.28819692390345697,0.8461928394606912,0.4873644380296452,0.35882840143104605,0.8844378949401662,0.5352897238188047,0.34914817112136154,0.8086667324639445,0.3995247350415503,0.4091419974223942,0.8185845341459236,0.336403948385332,0.4821805857605916,0.7283002312497782,0.2316868567359426,0.4966133745138356,93225.24324324324,169170.3108108108,99706.22972972972,99706.22972972972,True
